PROJECT NAME,APPLICANT NAME,ADDRESS NUMBER,ADDRESS NUMBER (HIGH),STREET DIRECTION,STREET NAME,STREET TYPE,WARD,COMMUNITY AREA,TIF DISTRICT,APPROVAL DATE,COMPLETION DATE,PROPERTY TYPE,PROJECT DESCRIPTION,INCENTIVE AMOUNT,TOTAL PROJECT COST,JOBS CREATED: ASPIRATIONAL,JOBS RETAINED: ASPIRATIONAL,LOCATION
LP's Wash-O-Matic,Lalita Fields,8923,,S,Cottage Grove,Ave,8,Chatham,87th/Cottage Grove,3/28/2017,8/7/2018,Commercial,"installation of concrete slab for proper support, installation of new floor joists and floor tiles;, installation of concrete slab for proper support, installation of new floor joists and floor tiles; placed new footings in basement and 6'' slab on main floor, drilled to floor joist to make one unit. floor underlay and floor installation, drywall repair work, prime and paint bathroom, installation of plumbing fixtures, final framing, final tiling",30758.96,41251.94,1,3,POINT (-87.604629 41.731924)
Key Foods Co.,Henry Gee,4130,,S,Morgan,St,11,New City,Stockyards Annex,10/15/2019,11/13/2020,General Industrial,"Reroof, install and mechanically fasten TPO rubber roof system and flashing",67500,135000,0,50,POINT (-87.650657 41.81903)
Exotic Creations Inc,Harbans Wahi,4645,,N,Clark,St,47,Uptown,Clark/Montrose,,5/13/2004,Commercial,Interior / Façade / HVAC,4060,8120,,,POINT (-87.667027 41.966569)
Vista Family Medicine,James P Valek,10961,,S,Kedzie,Ave,19,Mount Greenwood,111th/Kedzie,,10/15/2008,Commercial,Complete Renovation,50000,766458.64,,,POINT (-87.700897 41.693426)
"All Things are Possible for Kids, Inc.",Shelaundria Glasper,4014,,W,Chicago,Ave,37,Humboldt Park,Northwest Industrial Corridor,5/24/2016,11/23/2016,Commercial,"complete roof replacement with decking repairs, new insulation, modified white granulate membrane, termination bars, flashings, gravel stop, and new gutters and flashing; masonry work including tuck-pointing, chimney repairs, parapet wall repairs, and repair and replacement of coping stones; furnish and install three (3) HVAC rooftop units with curb adapters and all necessary connections",64500,86000,1,15,POINT (-87.726623 41.895389)
Douglas E Gary,Douglas E Gary,4256,4266,N,Milwaukee,Ave,45,Portage Park,Portage Park,1/20/2012,2/1/2013,Commercial,replacement of existing storefonts; address range is 4256-66 N Milwaukee Ave.,27500,79196,5,4,POINT (-87.752633 41.95852500000001)
Big City Properties,Charles Grendys,4318,,W,Carrol,Ave,28,West Garfield Park,Northwest Industrial Corridor,9/29/2010,4/14/2011,Industrial,"fire pump feeders, asbestos removal",9975,19950,,,POINT (-87.733909 41.886919)
His & Hers Barber and Beauty Salon,Winston Atwater,2102,,S,Pulaski,Rd,24,North Lawndale,Ogden/Pulaski,10/17/2013,10/1/2015,Commercial,"roofing; new aluminum storefront, windows, and door
, HVAC for commercial and basement areas (rooftop unit, economizer, ductwork, exhaust fans); electrical improvements in the commercial and basement areas; plumbing improvements in the commercial and basement areas; and plumbing materials, balance of electrical for commercial and basement areas",72197.45,96263.26,0,0,POINT (-87.724782 41.853204)
"Pelar Construction, Inc.",Peter Lawler,9921,9931,S,Wood,St,19,Beverly,Western/Rock Island,3/4/2014,3/3/2015,Commercial,"façade repair and improvement, new storefront systems, masonry repairs and tuck pointing, roofing, removal and replacement of stairs and decks.  Address range is 9921-31 S. Wood St.",100000,145478.27,2,6,POINT (-87.667254 41.713151)
See and Save Optical,Yousif Namrood,2822,,W,Devon,Ave,50,West Ridge,Devon/Western,,9/20/2010,Commercial,,32418.75,43225,,,POINT (-87.700693 41.997537)
Marian Baginski,Marian Baginski,2890,,N,Milwaukee,Ave,35,Avondale,Fullerton/Milwaukee,8/27/2009,5/19/2010,Landlord,"windows, doors, floors, HVAC, Ceiling, drywall, electrical, plumbing, exhaust system",24309.85,48619.7,,,POINT (-87.715203 41.933857)
"HT International, Inc. dba Wealth Logic Solutions",Hank Tajkowski,4606,,N,Western,Ave,47,Lincoln Square,Western Avenue (North),12/6/2014,10/19/2015,Commercial,"remove flashing from north, east, and south parapet walls on main building and including walls above garage; remove copings on east wall and remove existing parapet down to roof line; rebuild parapet wall with common bricks; mortar for new bricks; install modified bitumen flashing and coat with aluminum; remove existing gutters, flashing, and siding on east wall above garage; install new ice and water shield, steel flashing, insulation; install new siding; and realign existing gutters and downspouts, the balance of expenses related to: remove flashing from north, east, and south parapet walls on main building and including walls above garage; remove copings on east wall and remove existing parapet down to roof line; rebuild parapet wall with common bricks; mortar for new bricks; install modified bitumen flashing and coat with aluminum; remove existing gutters, flashing, and siding on east wall above garage; install new ice and water shield, steel flashing, insulation; install new siding; and realign existing gutters and downspouts",35062.5,47445,0,0,POINT (-87.688835 41.965166)
Laystrom Manufacturing Co,Robert Laystrom,3900,,W,Palmer,St,30,Logan Square,Pulaski Corridor,,3/19/2010,Industrial,"windows, windows, roof, deck,. Drains, and walls",36133,72267,,,POINT (-87.725081 41.920862)
"Empire Cooler Service, Inc.",Richard Klaskin,940,,W,Chicago,Ave,27,West Town,River West,8/30/2016,5/10/2017,Industrial,"interior renovations including removal of glass block windows and install new energy efficient windows, new commercial grade doors, rewire of all electrical service for new outlets, switches and fixtures, removal of existing flooring and install new subflooring and tiles, new ceiling, drywall, insulation, and painting",19850,39700,6,57,POINT (-87.651479 41.896372)
Frank A Edmunds Co.,James Norbert Mann,6111,,S,Sayre,Ave,23,Clearing,Harlem Industrial Corridor,7/25/2013,1/22/2014,Industrial,fix/replace dock area,3450,6900,1,9,POINT (-87.796113 41.780809)
"Duran Concrete, Inc.",Francisco Duran,1839,,N,Long,Ave,37,Austin,Galewood/Armitage,12/3/2013,4/9/2015,Commercial,"lighting, plumbing, parking lot, brick, asbestos abatement, windows, carpentry.",100000,196654.8,0,9,POINT (-87.760737 41.91437)
"Corporate Identification Solutions, Inc",Chuck Jacobson,5563,,N,Elston,Ave,39,Jefferson Park,Elston/Armstrong,2/11/2020,7/7/2020,Manufacturing,"Façade improvements including lintel replacement for 1st floor windows, replacement of bricks above 2nd floor windows, tuckpointing; removal of existing 1st floor glass block windows and brick-up two-thirds of window openings, installation of four (4) new windows in the remaining portion of the window openings; interior demolition, carpentry, framing and drywall to buildout three (3) new offices, conference room, waiting room, training room, and lunch room; furnish and install flooring for new offices and lunch room; mechanical upgrades including modification of HVAC and installation of new ductwork, plumbing for a new sink and upgrades to utility room plumbing, electrical upgrades and light fixtures and installation of electrical panel and sub-panel,",100000,148177.17,4,35,POINT (-87.763131 41.982242)
"Stellar Recognition, Inc. dba Sports Awards, Inc.",Roy Newton,5544,,W,Armstrong,Ave,39,Jefferson Park,Elston/Armstrong,7/5/2016,10/18/2016,Industrial,"furnish and install an HVAC roof top unit (7.5 ton unit with associated piping); electrical work associated with build-out of new interior office space including reconfiguration of circuit panels, furnish and install a new 2” pipe with wiring from rear of the building into the computer room for internet and one (1) 20 amp power line and ground bar, and furnish and install electrical switches, light fixtures, data stubs, feeders, and outlets.",17990,35980,0,98,POINT (-87.766136 41.984407)
Tula Yoga Studio,Maile Wicklander,2827,,W,Belden,Ave,1,Logan Square,Fullerton/Milwaukee,3/19/2016,3/23/2017,Commercial,"framing for a new bathroom, fireproofing, rough plumbing including underground plumbing, and electrical work including electrical rough-in.",7551.61,14068.81,2,4,POINT (-87.698445 41.923308)
Jeffrey A Mills Foot Path Trading Co,Jeffrey A Mills Foot Path Trading Co,2900,,W,Armitage,Ave,35,Logan Square,Fullerton/Milwaukee,,8/17/2006,Commercial,"Electric, water heater, tuckpointing, ventilation fan, windows, roof",6856.87,16372,,,POINT (-87.699703 41.917473)
Pulaski Animal Hospital,Adam Szpindor,5424,,S,Pulaski,Rd,23,West Elsdon,63rd/Pulaski,10/20/2011,10/31/2012,Commercial,"expansion of lobby area, roof, front façade, signage, lights, security",57853.95,115707.9,3,22,POINT (-87.723259 41.794221)
Law Offices of Barbara Demos,Law Offices of Barbara Demos,4750,,N,Milwaukee,Ave,45,Portage Park,Jefferson Park,,12/3/2009,Commercial,ROOF,12271.5,24543,,,POINT (-87.759831 41.966863)
Bonsoiree Restaurant,Shin A Thompson,2728,,W,Armitage,Ave,1,Logan Square,Fullerton/Milwaukee,,10/25/2006,Commercial,"Storefront renovations, new windows, doors, awning",6317.5,12810,,,POINT (-87.695983 41.917503)
Paket Corp.,Mark O'Malley,9165,,S,Harbor,Ave,10,South Chicago,South Chicago,8/8/2019,10/4/2019,Manufacturing,"installation of a new roofing system including insulation, flashing, pitch pans, modified bitumen membrane, new 24 gauge galvanized steel counter-flashings and remove five (5) abandoned curbs and deck in with new panels",23565,47130,2,68,POINT (-87.541832 41.729345)
"Taxmonster, LLC",Michael Schmidt,3518,3522,W,111th,St,19,Mount Greenwood,111th/Kedzie,4/10/2012,4/22/2013,Commercial,"demolition, interior rehab (walls, doors, ceilings, carpet, ceramic tile, bathrooms) plumbing, electrical, gas, storefront rehab, and roofing.  Address range is 3518-22 W. 111th St.",64888.5,86518,3,0,POINT (-87.70897 41.691442)
Amour Salon Suites,Sherry Spellers,646,,E,43rd,St,4,Grand Boulevard,43rd/Cottage Grove,12/4/2009,5/31/2011,Commercial,"hvac, fixtures, ceiling, complete renovation, windows, tuckpointing",5647.38,10934.13,,,POINT (-87.609705 41.816792)
Staropolska,Andy Orzel,3028,,N,Milwaukee,Ave,30,Avondale,Fullerton/Milwaukee,,1/16/2008,Landlord,"façade, windows, doors, signage",42500,85000,,,POINT (-87.719054 41.936189)
Westhaven Community Coin Laundry,Joseph Stocking,2355,,W,Washington,St,2,Near West Side,Central West,3/24/2010,10/19/2010,Commercial,"Replace boiler, air system",85465.5,113954,,,
Rudy's Cyclery Inc,Rudolph H Kubica,5711,,W,Irving Park,Rd,38,Portage Park,West Irving Park,8/29/2017,1/8/2018,Commercial,"tear-off of existing roof, installation of wood decking as needed, insulation, installation of TPO membrane roofing system, new flashings, and pitch pans; , installation of a photovoltaic solar electrical system",52780.23,70373.64,3,4,POINT (-87.769898 41.953159)
Clark St Dining Concern Inc,Jeffrey Baker Shane,5721,,N,Clark,St,48,Edgewater,Clark/Ridge,7/31/2010,6/2/2011,Commercial,complete rehab,72370.73,144741.45,,23,POINT (-87.66932 41.98585)
Kurt Balder,Kurt Balder,3647,,W,Armitage,Ave,26,Logan Square,Fullerton/Milwaukee,4/6/2018,4/24/2019,Commercial,"restoration of the façade and commercial storefront (demolition; replace steel beam; replace masonry and limestone with like-kind items; install new storefront frames, glass, and door); grind and tuck point the east, west, and south building elevations and replace bricks with like-kind items as needed; remove and replace the existing flat roofing system; remove and replace four (4) windows; remove and replace side entry and rear overhead doors; remove and replace the plumbing lines (cast iron waste and copper supply lines); frame out, drywall, paint, and install tile flooring for an ADA-compliant restroom and furnish and install toilet, lavatory, and faucet fixtures and a new door; furnish and install a new HVAC system (furnace and a/c condenser) and associated duct work",78465.92,112321.23,2,0,POINT (-87.718533 41.917279)
"TGMG, LLC",Maria Gloria,800,808,W,Randolph,St,27,Near West Side,Near West,7/11/2013,12/6/2013,Commercial,"HVAC system (furnaces, louvers, dampers, thermostats, duct work, grills, registers, diffusers, repairs to existing rooftop unit); plumbing for second floor  space; masonry repairs to exterior of 800-8 W. Randolph (demolition, installation of new face brick, tuckpointing, cleaning, patch deteriorated stones, painting, cut away roofing material at parapets and install new wood top plate, new capping at parapets); scaffolding expenses.  Address range is 800-8 W. Randolph St.",100000,134848.8,10,0,POINT (-87.647679 41.884534)
M.G.R. Tax-Service Inc.,Galo Gutierrez,4316,,W,Lawrence,Ave,39,Albany Park,Lawrence/Pulaski,12/3/2019,4/2/2021,Mixed-Use: Retail and Residential,"storefront remodeling including removing and replacing one (1) storefront frame, one (1) medium entry door, repairing and replacing bricks as necessary, installation of new ceramic interior tiles to match the exterior décor, and architectural fees.",8925,15625,3,3,POINT (-87.736204 41.968173)
Jeune Nazon,Jeune Nazon,1750,,E,87th,St,8,Avalon Park,Stony Island/Burnside,,3/17/2005,Landlord,"Parking, interior, exterior, HVAC, Roof, storefront, Parking, interior, exterior, HVAC, Roof, storefront",50000,77422.47,,,POINT (-87.580803 41.736981)
"Onyx Distribution & Services, LLC",John Hamilton,2444,,W,16th,St,28,Near West Side,Western/Ogden,12/9/2014,8/24/2015,Industrial,"demolition; construct two (2) new openings in masonry wall; furnish and install drywall partitions; wood jambs, stops, and glass for new conference room window; furnish and install doors, frames, and hardware per plans; painting of door frames and partition walls; repairs to wood flooring; HVAC improvements (furnish and install two (2) energy efficient gas furnaces and two (2) exhaust fans; furnish and install new duct work per plans and alterations to existing duct work; install new diffusers and registers); and electrical improvements (furnish and install energy efficient fluorescent lighting and switches; furnish and install all needed power distribution branch piping, wiring, and receptacles; wiring for HVAC improvements); architectural services. Located in Unit #4R.",67707.5,135415,5,6,POINT (-87.686819 41.859366)
Ron Wu Inc. / Ron Wu Photo,Ronald Wu,1017,,W,Washington,Blvd,25,Near West Side,Near West,12/4/2012,11/13/2013,Commercial,"framing, drywall, insulation, flooring, cabinetry, HVAC, lighting, plumbing; located in Suite 3A.",48926.72,65235.62,2,3,POINT (-87.652722 41.883082)
Windy Knitty LLC,Mandy Petersen,5653,,N,Clark,St,48,Edgewater,Clark/Ridge,12/20/2010,7/27/2011,Commercial,"framing, millwork, electrical, cabinetry, countertops, flooring, painting",39269.06,52358.74,5,,POINT (-87.669073 41.984876)
